"","V1","V2","V3"
"V184"," 0.183000","-1.035766","-0.918570"
"V185"," 0.1840000","-1.0357948","-0.9185589"
"V186"," 0.185000","-1.035820","-0.918559"
"V187"," 0.1860000","-1.0358413","-0.9185701"
"V188"," 0.187000","-1.035859","-0.918592"
"V189"," 0.1880000","-1.0358723","-0.9186246"
"V190"," 0.1890000","-1.0358820","-0.9186678"
"V191"," 0.1900000","-1.0358877","-0.9187213"
"V192"," 0.191000","-1.035889","-0.918785"
"V193"," 0.1920000","-1.0358873","-0.9188586"
"V194"," 0.193000","-1.035881","-0.918942"
"V195"," 0.1940000","-1.0358709","-0.9190349"
"V196"," 0.1950000","-1.0358567","-0.9191372"
"V197"," 0.1960000","-1.0358384","-0.9192485"
"V198"," 0.1970000","-1.0358161","-0.9193687"
"V199"," 0.1980000","-1.0357896","-0.9194975"
"V200"," 0.1990000","-1.0357590","-0.9196347"
"V201"," 0.200000","-1.035724","-0.919780"
"V202"," 0.2010000","-1.0356854","-0.9199332"
"V203"," 0.2020000","-1.0356423","-0.9200939"
"V204"," 0.2030000","-1.0355951","-0.9202621"
"V205"," 0.2040000","-1.0355436","-0.9204375"
"V206"," 0.2050000","-1.0354879","-0.9206196"
"V207"," 0.2060000","-1.0354279","-0.9208083"
"V208"," 0.2070000","-1.0353636","-0.9210032"
"V209"," 0.2080000","-1.0352950","-0.9212039"
"V210"," 0.2090000","-1.0352220","-0.9214102"
"V211"," 0.2100000","-1.0351446","-0.9216218"
"V212"," 0.2110000","-1.0350628","-0.9218382"
"V213"," 0.2120000","-1.0349765","-0.9220593"
"V214"," 0.2130000","-1.0348858","-0.9222846"
"V215"," 0.2140000","-1.0347906","-0.9225138"
"V216"," 0.2150000","-1.0346908","-0.9227467"
"V217"," 0.216000","-1.034587","-0.922983"
"V218"," 0.2170000","-1.0344777","-0.9232222"
"V219"," 0.2180000","-1.0343643","-0.9234641"
"V220"," 0.2190000","-1.0342462","-0.9237083"
"V221"," 0.2200000","-1.0341236","-0.9239546"
"V222"," 0.2210000","-1.0339963","-0.9242026"
"V223"," 0.222000","-1.033864","-0.924452"
"V224"," 0.2230000","-1.0337278","-0.9247025"
"V225"," 0.2240000","-1.0335865","-0.9249537"
"V226"," 0.2250000","-1.0334405","-0.9252054"
"V227"," 0.2260000","-1.0332898","-0.9254572"
"V228"," 0.2270000","-1.0331343","-0.9257088"
"V229"," 0.2280000","-1.0329741","-0.9259598"
"V230"," 0.229000","-1.032809","-0.926210"
"V231"," 0.230000","-1.032640","-0.926459"
"V232"," 0.2310000","-1.0324651","-0.9267066"
"V233"," 0.2320000","-1.0322859","-0.9269523"
"V234"," 0.2330000","-1.0321019","-0.9271959"
"V235"," 0.2340000","-1.0319131","-0.9274371"
"V236"," 0.2350000","-1.0317195","-0.9276755"
"V237"," 0.2360000","-1.0315211","-0.9279108"
"V238"," 0.2370000","-1.0313179","-0.9281426"
"V239"," 0.2380000","-1.0311099","-0.9283708"
"V240"," 0.2390000","-1.0308971","-0.9285949"
"V241"," 0.2400000","-1.0306794","-0.9288146"
"V242"," 0.2410000","-1.0304570","-0.9290296"
"V243"," 0.2420000","-1.0302298","-0.9292398"
"V244"," 0.2430000","-1.0299978","-0.9294449"
"V245"," 0.2440000","-1.0297612","-0.9296447"
"V246"," 0.2450000","-1.0295198","-0.9298389"
"V247"," 0.2460000","-1.0292737","-0.9300272"
